Average Revenue,Avg Order Value,Sum of order_details_id,order_id,pizza_id,Sum of quantity,Total Orders,Total Revenue
$0,13.25,1,1,hawaiian_m,1,1,$13
$0,16,2,2,classic_dlx_m,1,1,$16
$0,18.5,3,2,five_cheese_l,1,1,$19
$0,20.75,4,2,ital_supr_l,1,1,$21
$0,16,5,2,mexicana_m,1,1,$16
$0,20.75,6,2,thai_ckn_l,1,1,$21
$0,16.5,7,3,ital_supr_m,1,1,$17
$0,20.75,8,3,prsc_argla_l,1,1,$21
$0,16.5,9,4,ital_supr_m,1,1,$17
$0,16.5,10,5,ital_supr_m,1,1,$17
$0,12.75,11,6,bbq_ckn_s,1,1,$13
$0,12,12,6,the_greek_s,1,1,$12
$0,12.5,13,7,spinach_supr_s,1,1,$13
$0,12.5,14,8,spinach_supr_s,1,1,$13
$0,12,15,9,classic_dlx_s,1,1,$12
$0,12,16,9,green_garden_s,1,1,$12
$0,20.5,17,9,ital_cpcllo_l,1,1,$21
$0,20.75,18,9,ital_supr_l,1,1,$21
$0,12.5,19,9,ital_supr_s,1,1,$13
$0,12,20,9,mexicana_s,1,1,$12
$0,20.75,21,9,spicy_ital_l,1,1,$21
$0,20.75,22,9,spin_pesto_l,1,1,$21
$0,12,23,9,veggie_veg_s,1,1,$12
$0,20.25,24,10,mexicana_l,1,1,$20
$0,20.75,25,10,southw_ckn_l,1,1,$21
$0,20.75,26,11,bbq_ckn_l,1,1,$21
$0,20.75,27,11,cali_ckn_l,1,1,$21
$0,16.75,28,11,cali_ckn_m,1,1,$17
$0,15.25,29,11,pepperoni_l,1,1,$15
$0,20.75,30,12,cali_ckn_l,1,1,$21
$0,12.75,31,12,cali_ckn_s,1,1,$13
$0,20.75,32,12,ckn_pesto_l,1,1,$21
$0,16.5,33,12,ital_supr_m,1,1,$17
$0,20.25,34,13,mexicana_l,1,1,$20
$0,12,35,14,the_greek_s,1,1,$12
$0,12,36,15,big_meat_s,1,1,$12
$0,18.5,37,15,five_cheese_l,1,1,$19
$0,20.75,38,15,soppressata_l,1,1,$21
$0,12,39,15,the_greek_s,1,1,$12
$0,17.95,40,16,four_cheese_l,1,1,$18
$0,12,41,16,napolitana_s,1,1,$12
$0,20.75,42,16,thai_ckn_l,1,1,$21
$0,20.75,43,17,bbq_ckn_l,1,1,$21
$0,16.25,44,17,calabrese_m,1,1,$16
$0,18.5,45,17,five_cheese_l,1,1,$19
$0,14.75,46,17,four_cheese_m,1,1,$15
$0,16.5,47,17,ital_supr_m,1,1,$17
$0,12.75,48,17,ital_veggie_s,1,1,$13
$0,32,49,17,mediterraneo_m,2,1,$32
$0,20.25,50,17,mexicana_l,1,1,$20
$0,12.5,51,17,peppr_salami_s,1,1,$13
$0,20.25,52,17,spinach_fet_l,1,1,$20
$0,20.5,53,18,napolitana_l,1,1,$21
$0,20.5,54,19,ital_cpcllo_l,1,1,$21
$0,20.25,55,19,sicilian_l,1,1,$20
$0,12,56,20,big_meat_s,1,1,$12
$0,18.5,57,20,five_cheese_l,1,1,$19
$0,20.5,58,21,ital_cpcllo_l,1,1,$21
$0,18.5,59,22,five_cheese_l,1,1,$19
$0,16,60,22,ital_cpcllo_m,1,1,$16
$0,20.75,61,22,southw_ckn_l,1,1,$21
$0,12.75,62,23,southw_ckn_s,1,1,$13
$0,16.75,63,24,bbq_ckn_m,1,1,$17
$0,16,64,24,ital_cpcllo_m,1,1,$16
$0,12.5,65,24,pepperoni_m,1,1,$13
$0,12.5,66,24,prsc_argla_s,1,1,$13
$0,16.25,67,25,sicilian_m,1,1,$16
$0,20.75,68,25,thai_ckn_l,1,1,$21
$0,12,69,26,classic_dlx_s,1,1,$12
$0,20.25,70,26,veggie_veg_l,1,1,$20
$0,20.75,71,27,bbq_ckn_l,1,1,$21
$0,16,72,27,classic_dlx_m,1,1,$16
$0,20.25,73,27,spinach_fet_l,1,1,$20
$0,12.75,74,28,ckn_alfredo_s,1,1,$13
$0,12,75,29,green_garden_s,1,1,$12
$0,20.75,76,30,thai_ckn_l,1,1,$21
$0,16,77,31,mexicana_m,1,1,$16
$0,9.75,78,31,pepperoni_s,1,1,$10
$0,12,79,32,big_meat_s,1,1,$12
$0,20.25,80,32,green_garden_l,1,1,$20
$0,20.5,81,32,ital_cpcllo_l,1,1,$21
$0,16.5,82,32,ital_supr_m,1,1,$17
$0,20.75,83,33,bbq_ckn_l,1,1,$21
$0,12,84,33,green_garden_s,1,1,$12
$0,12,85,34,the_greek_s,1,1,$12
$0,16,86,35,green_garden_m,1,1,$16
$0,17.5,87,35,pep_msh_pep_l,1,1,$18
$0,12.5,88,35,pepperoni_m,1,1,$13
$0,20.75,89,35,thai_ckn_l,1,1,$21
$0,16.75,90,36,bbq_ckn_m,1,1,$17
$0,16,91,36,classic_dlx_m,1,1,$16
$0,20.75,92,37,ital_supr_l,1,1,$21
$0,20.25,93,37,mexicana_l,1,1,$20
$0,10.5,94,38,hawaiian_s,1,1,$11
$0,20.5,95,38,ital_cpcllo_l,1,1,$21
$0,20.75,96,39,ital_supr_l,1,1,$21
$0,17.95,97,40,four_cheese_l,1,1,$18
$0,12.75,98,40,southw_ckn_s,1,1,$13
$0,14.75,99,41,four_cheese_m,1,1,$15
$0,12,100,41,green_garden_s,1,1,$12
$0,12,101,42,big_meat_s,1,1,$12
$0,18.5,102,42,five_cheese_l,1,1,$19
$0,20.25,103,42,mexicana_l,1,1,$20
$0,16.5,104,42,peppr_salami_m,1,1,$17
$0,16.75,105,43,ckn_alfredo_m,1,1,$17
$0,16.5,106,43,ital_supr_m,1,1,$17
$0,20.75,107,43,peppr_salami_l,1,1,$21
$0,12.5,108,44,spin_pesto_s,1,1,$13
$0,17.95,109,45,four_cheese_l,1,1,$18
$0,10.5,110,45,hawaiian_s,1,1,$11
$0,16.75,111,45,thai_ckn_m,1,1,$17
$0,20.75,112,46,ckn_pesto_l,1,1,$21
$0,20.5,113,46,classic_dlx_l,1,1,$21
$0,16.75,114,46,thai_ckn_m,1,1,$17
$0,20.75,115,47,southw_ckn_l,1,1,$21
$0,12,116,47,veggie_veg_s,1,1,$12
$0,16.75,117,48,ckn_pesto_m,1,1,$17
$0,12,118,48,green_garden_s,1,1,$12
$0,20.75,119,48,prsc_argla_l,1,1,$21
$0,20.75,120,48,spicy_ital_l,1,1,$21
$0,20.25,121,49,sicilian_l,1,1,$20
$0,25.5,122,50,the_greek_xl,1,1,$26
$0,20.75,123,51,bbq_ckn_l,1,1,$21
$0,17.5,124,51,pep_msh_pep_l,1,1,$18
$0,16.5,125,52,hawaiian_l,1,1,$17
$0,20.25,126,52,mexicana_l,1,1,$20
$0,20.75,127,52,spicy_ital_l,1,1,$21
$0,11,128,53,pep_msh_pep_s,1,1,$11
$0,16.5,129,53,spinach_supr_m,1,1,$17
$0,16.5,130,54,prsc_argla_m,1,1,$17
$0,20.75,131,54,thai_ckn_l,1,1,$21
$0,12.5,132,55,peppr_salami_s,1,1,$13
$0,20.75,133,55,spicy_ital_l,1,1,$21
$0,16,134,56,classic_dlx_m,1,1,$16
$0,20.25,135,56,mediterraneo_l,1,1,$20
$0,16.75,136,56,southw_ckn_m,1,1,$17
$0,16,137,57,classic_dlx_m,1,1,$16
$0,18.5,138,58,five_cheese_l,1,1,$19
$0,12.5,139,58,pepperoni_m,1,1,$13
$0,12.75,140,59,ital_veggie_s,1,1,$13
$0,11,141,59,pep_msh_pep_s,1,1,$11
$0,15.25,142,59,pepperoni_l,1,1,$15
$0,20.75,143,60,ckn_pesto_l,1,1,$21
$0,14.75,144,60,four_cheese_m,1,1,$15
$0,16.75,145,61,bbq_ckn_m,1,1,$17
$0,20.75,146,61,ital_supr_l,1,1,$21
$0,16.75,147,62,bbq_ckn_m,1,1,$17
$0,16.5,148,62,spinach_supr_m,1,1,$17
$0,14.5,149,63,pep_msh_pep_m,1,1,$15
$0,12,150,64,big_meat_s,1,1,$12
$0,11,151,65,pep_msh_pep_s,1,1,$11
$0,12.25,152,65,sicilian_s,1,1,$12
$0,12.5,153,65,spicy_ital_s,1,1,$13
$0,16.5,154,65,spinach_supr_m,1,1,$17
$0,16,155,66,classic_dlx_m,1,1,$16
$0,16,156,66,ital_cpcllo_m,1,1,$16
$0,20.75,157,67,southw_ckn_l,1,1,$21
$0,16,158,68,classic_dlx_m,1,1,$16
$0,20.75,159,68,ital_supr_l,1,1,$21
$0,16.5,160,68,ital_supr_m,1,1,$17
$0,20.75,161,69,bbq_ckn_l,1,1,$21
$0,12.75,162,70,ital_veggie_s,1,1,$13
$0,20.75,163,70,soppressata_l,1,1,$21
$0,20.75,164,71,thai_ckn_l,1,1,$21
$0,20.25,165,72,spinach_fet_l,1,1,$20
$0,12.75,166,73,thai_ckn_s,1,1,$13
$0,18.5,167,74,five_cheese_l,1,1,$19
$0,20.25,168,74,mexicana_l,1,1,$20
$0,12.5,169,74,spin_pesto_s,1,1,$13
$0,20.75,170,74,spinach_supr_l,1,1,$21
$0,12.5,171,75,ital_supr_s,1,1,$13
$0,20.25,172,75,mediterraneo_l,1,1,$20
$0,20.5,173,75,napolitana_l,1,1,$21
$0,12,174,76,big_meat_s,1,1,$12
$0,16.5,175,76,hawaiian_l,1,1,$17
$0,21,176,76,ital_veggie_l,1,1,$21
$0,20.75,177,76,spicy_ital_l,1,1,$21
$0,16.75,178,77,bbq_ckn_m,1,1,$17
$0,13.25,179,77,hawaiian_m,1,1,$13
$0,12,180,78,big_meat_s,1,1,$12
$0,12,181,78,classic_dlx_s,1,1,$12
$0,17.95,182,78,four_cheese_l,1,1,$18
$0,16,183,78,ital_cpcllo_m,1,1,$16
$0,62.25,184,78,spicy_ital_l,3,1,$62
$0,12.75,185,78,thai_ckn_s,1,1,$13
$0,20.5,186,79,ital_cpcllo_l,1,1,$21
$0,11,187,79,pep_msh_pep_s,1,1,$11
$0,20.75,188,79,thai_ckn_l,1,1,$21
$0,9.75,189,80,pepperoni_s,1,1,$10
$0,16.75,190,80,thai_ckn_m,1,1,$17
$0,20.75,191,81,thai_ckn_l,1,1,$21
$0,12,192,82,big_meat_s,1,1,$12
$0,16.75,193,82,cali_ckn_m,1,1,$17
$0,20.75,194,82,spicy_ital_l,1,1,$21
$0,16,195,82,veggie_veg_m,1,1,$16
$0,12.75,196,83,southw_ckn_s,1,1,$13
$0,15.25,197,84,pepperoni_l,1,1,$15
$0,16,198,85,classic_dlx_m,1,1,$16
$0,12,199,85,classic_dlx_s,1,1,$12
$0,20.75,200,85,ital_supr_l,1,1,$21
$0,16,201,85,the_greek_m,1,1,$16
$0,16.5,202,86,hawaiian_l,1,1,$17
$0,16,203,87,ital_cpcllo_m,1,1,$16
$0,16,204,87,mexicana_m,1,1,$16
$0,20.75,205,87,spinach_supr_l,1,1,$21
$0,12.5,206,87,spinach_supr_s,1,1,$13
$0,18.5,207,88,five_cheese_l,1,1,$19
$0,20.75,208,89,soppressata_l,1,1,$21
$0,20.75,209,89,thai_ckn_l,1,1,$21
$0,20.25,210,90,sicilian_l,1,1,$20
$0,12.75,211,90,thai_ckn_s,1,1,$13
$0,41.5,212,91,bbq_ckn_l,2,1,$42
$0,12.75,213,91,ckn_pesto_s,1,1,$13
$0,9.75,214,91,pepperoni_s,1,1,$10
$0,16.75,215,92,bbq_ckn_m,1,1,$17
$0,20.75,216,92,ital_supr_l,1,1,$21
$0,16.5,217,92,ital_supr_m,1,1,$17
$0,12.75,218,92,ital_veggie_s,1,1,$13
$0,12.5,219,92,pepperoni_m,1,1,$13
$0,16.5,220,92,peppr_salami_m,1,1,$17
$0,12,221,92,spinach_fet_s,1,1,$12
$0,12.5,222,92,spinach_supr_s,1,1,$13
$0,32,223,92,the_greek_m,2,1,$32
$0,16.25,224,93,sicilian_m,1,1,$16
$0,16,225,94,ital_cpcllo_m,1,1,$16
$0,12.75,226,94,southw_ckn_s,1,1,$13
$0,12,227,95,napolitana_s,1,1,$12
$0,20.75,228,95,peppr_salami_l,1,1,$21
$0,12,229,96,napolitana_s,1,1,$12
$0,12,230,97,big_meat_s,1,1,$12
$0,20.5,231,98,classic_dlx_l,1,1,$21
$0,20.5,232,98,napolitana_l,1,1,$21
$0,20.75,233,99,ital_supr_l,1,1,$21
$0,16.5,234,100,hawaiian_l,1,1,$17
$0,20.75,235,101,cali_ckn_l,1,1,$21
$0,15.25,236,101,pepperoni_l,1,1,$15
$0,20.75,237,101,soppressata_l,1,1,$21
$0,16.5,238,101,spicy_ital_m,1,1,$17
$0,12.75,239,102,bbq_ckn_s,1,1,$13
$0,12.5,240,102,prsc_argla_s,1,1,$13
